t (s),x_rec (m),y_rec (m),ctr (m),x_sat_1 (m),y_sat_1 (m),R_1 (m),x_sat_2 (m),y_sat_2 (m),R_2 (m),x_sat_3 (m),y_sat_3 (m),R_3 (m),x_sat_4 (m),y_sat_4 (m),R_4 (m)
3370,6.371e+06,0,3e+08,2.393e+07,7.225e+06,3.19e+08,2.232e+07,1.127e+07,3.195e+08,2.002e+07,1.497e+07,3.203e+08,1.711e+07,1.822e+07,3.212e+08
3380,6.371e+06,0,3e+08,2.393e+07,7.246e+06,3.19e+08,2.231e+07,1.129e+07,3.195e+08,2.001e+07,1.499e+07,3.203e+08,1.71e+07,1.824e+07,3.212e+08
3390,6.371e+06,0,3e+08,2.392e+07,7.267e+06,3.19e+08,2.23e+07,1.131e+07,3.195e+08,1.999e+07,1.501e+07,3.203e+08,1.708e+07,1.825e+07,3.212e+08
3400,6.371e+06,0,3e+08,2.391e+07,7.287e+06,3.19e+08,2.229e+07,1.133e+07,3.195e+08,1.998e+07,1.503e+07,3.203e+08,1.707e+07,1.827e+07,3.212e+08
3410,6.371e+06,0,3e+08,2.391e+07,7.308e+06,3.19e+08,2.228e+07,1.135e+07,3.195e+08,1.997e+07,1.504e+07,3.203e+08,1.705e+07,1.828e+07,3.212e+08
3420,6.371e+06,0,3e+08,2.39e+07,7.329e+06,3.19e+08,2.227e+07,1.137e+07,3.195e+08,1.995e+07,1.506e+07,3.203e+08,1.703e+07,1.83e+07,3.212e+08
3430,6.371e+06,0,3e+08,2.39e+07,7.35e+06,3.19e+08,2.226e+07,1.139e+07,3.195e+08,1.994e+07,1.508e+07,3.203e+08,1.702e+07,1.831e+07,3.212e+08
3440,6.371e+06,0,3e+08,2.389e+07,7.371e+06,3.19e+08,2.225e+07,1.141e+07,3.195e+08,1.993e+07,1.51e+07,3.203e+08,1.7e+07,1.833e+07,3.212e+08
3450,6.371e+06,0,3e+08,2.388e+07,7.391e+06,3.19e+08,2.224e+07,1.143e+07,3.196e+08,1.991e+07,1.511e+07,3.203e+08,1.699e+07,1.834e+07,3.212e+08
3460,6.371e+06,0,3e+08,2.388e+07,7.412e+06,3.19e+08,2.223e+07,1.145e+07,3.196e+08,1.99e+07,1.513e+07,3.203e+08,1.697e+07,1.836e+07,3.212e+08
3470,6.371e+06,0,3e+08,2.387e+07,7.433e+06,3.19e+08,2.222e+07,1.146e+07,3.196e+08,1.989e+07,1.515e+07,3.203e+08,1.696e+07,1.837e+07,3.212e+08
3480,6.371e+06,0,3e+08,2.386e+07,7.454e+06,3.19e+08,2.221e+07,1.148e+07,3.196e+08,1.987e+07,1.517e+07,3.203e+08,1.694e+07,1.839e+07,3.212e+08
3490,6.371e+06,0,3e+08,2.386e+07,7.474e+06,3.19e+08,2.22e+07,1.15e+07,3.196e+08,1.986e+07,1.518e+07,3.203e+08,1.692e+07,1.84e+07,3.212e+08
3500,6.371e+06,0,3e+08,2.385e+07,7.495e+06,3.19e+08,2.219e+07,1.152e+07,3.196e+08,1.985e+07,1.52e+07,3.203e+08,1.691e+07,1.842e+07,3.212e+08
3510,6.371e+06,0,3e+08,2.384e+07,7.516e+06,3.19e+08,2.218e+07,1.154e+07,3.196e+08,1.983e+07,1.522e+07,3.203e+08,1.689e+07,1.843e+07,3.212e+08
3520,6.371e+06,0,3e+08,2.384e+07,7.537e+06,3.19e+08,2.217e+07,1.156e+07,3.196e+08,1.982e+07,1.523e+07,3.203e+08,1.688e+07,1.845e+07,3.212e+08
3530,6.371e+06,0,3e+08,2.383e+07,7.557e+06,3.19e+08,2.216e+07,1.158e+07,3.196e+08,1.981e+07,1.525e+07,3.203e+08,1.686e+07,1.846e+07,3.212e+08
3540,6.371e+06,0,3e+08,2.382e+07,7.578e+06,3.19e+08,2.215e+07,1.16e+07,3.196e+08,1.98e+07,1.527e+07,3.203e+08,1.684e+07,1.847e+07,3.212e+08
3550,6.371e+06,0,3e+08,2.382e+07,7.599e+06,3.19e+08,2.214e+07,1.162e+07,3.196e+08,1.978e+07,1.529e+07,3.203e+08,1.683e+07,1.849e+07,3.212e+08
3560,6.371e+06,0,3e+08,2.381e+07,7.62e+06,3.19e+08,2.213e+07,1.164e+07,3.196e+08,1.977e+07,1.53e+07,3.203e+08,1.681e+07,1.85e+07,3.212e+08
3570,6.371e+06,0,3e+08,2.38e+07,7.64e+06,3.19e+08,2.212e+07,1.166e+07,3.196e+08,1.976e+07,1.532e+07,3.203e+08,1.679e+07,1.852e+07,3.213e+08
3580,6.371e+06,0,3e+08,2.38e+07,7.661e+06,3.19e+08,2.211e+07,1.168e+07,3.196e+08,1.974e+07,1.534e+07,3.203e+08,1.678e+07,1.853e+07,3.213e+08
3590,6.371e+06,0,3e+08,2.379e+07,7.682e+06,3.19e+08,2.21e+07,1.17e+07,3.196e+08,1.973e+07,1.536e+07,3.204e+08,1.676e+07,1.855e+07,3.213e+08
3600,6.371e+06,0,3e+08,2.378e+07,7.702e+06,3.19e+08,2.209e+07,1.172e+07,3.196e+08,1.972e+07,1.537e+07,3.204e+08,1.675e+07,1.856e+07,3.213e+08
